ai_likelihood,domain,llm_prediction_CLAUDE,llm_prediction_DEEPSEEK,llm_prediction_GOOGLE,llm_prediction_GPT35,llm_prediction_GPT4,llm_prediction_GROK,llm_prediction_HUMAN,llm_prediction_NOVA,llm_prediction_OPENAI_O_SERIES,llm_prediction_OTHER,paper_id,process
7.682376437717014e-06,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2112249787,original
9.934107462565105e-07,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2159473331,original
7.616149054633247e-07,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2127502606,original
1.483493381076389e-05,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2615075468,original
0.0,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W1657088839,original
7.616149054633247e-07,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2129341280,original
4.3047799004448785e-07,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2172177919,original
2.914004855685764e-06,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2475591873,original
3.907415601942274e-06,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2091063629,original
1.556343502468533e-06,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W1566504087,original
1.3642840915256076e-05,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2043731179,original
2.1192762586805556e-06,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2141672870,original
0.00011331505245632595,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2051562066,original
2.615981631808811e-06,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W1987701170,original
2.5828679402669272e-06,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W1968744738,original
7.616149054633247e-07,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2156734978,original
1.331170399983724e-05,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W4410180899,original
4.642539554172092e-05,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2131667576,original
8.092986212836372e-05,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W1540332219,original
5.424022674560547e-05,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2149108980,original
5.364418029785156e-06,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W1861474567,original
3.841188218858507e-06,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2009779641,original
